species,a10,a11,a12,a5,a6,a7,a8,a9,b10,b11,b12,b1,b2,b3,b4,b5,b6,b7,b8,b9,c10,c11,c12,c1,c2,c3,c4,c5,c6,c7,c9,d10,d11,d12,d1
actibacterium_mucosum,1,0,13,2,0,6,3,0,2,0,0,0,2,3,0,0,0,1,6,1,0,0,0,0,1,1,19,2,6,0,0,11,0,0,1
actinoalloteichus_hoggarensis,5,0,5,3,0,0,1,0,7,0,0,0,0,1,2,0,3,1,62,2,0,1,0,6,0,1,3,2,2,1,0,44,0,0,0
actinoalloteichus_hymeniacidonis,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,1,0,0,0,12,0,2,3,2,2,1,0,3,0,0,0
actinobacillus_succinogenes,0,10,2,8,15,8,1,21,0,0,0,3,3,4,1,3,28,6,0,4,11,3,9,2,9,33,7,7,2,0,34,0,0,0,0
actinobacillus_suis,6,6,19,3,1,4,9,2,3,32,0,0,3,7,4,0,2,23,15,7,4,1,5,0,0,40,12,3,1,5,135,4,2,0,0
actinobacterium_llx17,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,8,1,1,0,1,0,5,0,0,0
actinocatenispora_sera,1,5,0,7,0,0,6,0,0,0,0,2,0,1,0,0,1,1,7,3,0,0,0,1,0,2,6,1,1,1,0,2,0,0,0
actinokineospora_bangkokensis,1,7,1,3,0,13,2,0,0,0,1,0,20,2,3,0,0,0,3,0,0,0,0,1,0,1,12,5,2,0,1,9,1,3,0
actinokineospora_spheciospongiae,0,1,0,4,0,0,0,0,0,1,0,1,3,2,1,0,0,0,0,2,0,0,1,3,0,0,7,2,4,2,0,10,0,0,0
actinomadura_chibensis,0,1,2,16,0,0,2,0,0,0,0,0,1,1,0,0,0,0,4,0,0,0,0,3,0,1,7,2,0,1,0,26,0,1,0
actinomadura_flavalba,0,3,17,3,0,7,6,0,0,0,1,2,5,4,2,0,1,7,1,4,0,1,0,2,1,0,8,0,9,6,1,6,0,0,3
actinomyces_glycerinitolerans,2,4,3,17,2,15,8,0,0,7,4,5,7,9,3,5,2,2,8,7,3,1,1,10,0,7,25,3,5,2,13,4,3,7,0
actinomyces_hongkongensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
