andreprevotia_chitinilytica,bordetella_genomosp
andreprevotia_chitinilytica,fusobacterium_ulcerans
andreprevotia_chitinilytica,lysobacter_spongiicola
andreprevotia_lacus,halobacillus_hunanensis
aneurinibacillus_tyrosinisolvens,candidatus_promineofilum
aneurinibacillus_tyrosinisolvens,leptolyngbya_ohadii
aneurinibacillus_tyrosinisolvens,sediminispirochaeta_smaragdinae
anoxybacillus_amylolyticus,vibrio_tasmaniensis
anoxybacillus_gonensis,fluviicola_taffensis
antarctobacter_heliothermus,pseudomonas_saudiphocaensis
apibacter_mensalis,ekhidna_lutea
aquamicrobium_aerolatum,pelagibacterium_luteolum
aquaspirillum_serpens,mobiluncus_curtisii
aquiflexum_balticum,candidatus_phytoplasma
aquiflexum_balticum,muricauda_zhangzhouensis
aquimarina_amphilecti,campylobacter_sputorum
aquimarina_amphilecti,morganella_morganii
aquimarina_latercula,maricaulis_maris
aquimarina_longa,gilvimarinus_chinensis
aquimarina_macrocephali,gordonia_kroppenstedtii
aquimarina_pacifica,nitrosomonas_ureae
aquimarina_spongiae,belliella_pelovolcani
aquimarina_spongiae,halomicronema_hongdechloris
aquimixticola_soesokkakensis,deinococcus_swuensis
arachidicoccus_rhizosphaerae,marinobacter_mobilis
arachidicoccus_rhizosphaerae,roseiflexus_castenholzii
arcanobacterium_phocae,marinobacter_psychrophilus
archangium_gephyra,dehalogenimonas_lykanthroporepellens
arcobacter_anaerophilus,defluviitoga_tunisiensis
arcobacter_anaerophilus,tropicibacter_naphthalenivorans
arcobacter_butzleri,dietzia_timorensis
arcobacter_lekithochrous,enterobacter_cloacae
arcobacter_thereius,nocardioides_exalbidus
arcticibacter_svalbardensis,leptospira_biflexa
ardenticatena_maritima,thermogemmatispora_carboxidivorans
arenibacter_algicola,calderihabitans_maritimus
arenimonas_donghaensis,candidatus_babela
arenimonas_malthae,thiomonas_intermedia
arenimonas_metalli,streptococcus_uberis
arenimonas_oryziterrae,maribius_pelagius
arenitalea_lutea,thermus_oshimai
aromatoleum_aromaticum,chondromyces_apiculatus
arsenicibacter_rosenii,mucilaginibacter_polytrichastri
arsenophonus_endosymbiont,bacterium_symbiont
arsenophonus_endosymbiont,candidatus_carsonella
arsenophonus_symbiont,enterobacter_cloacae
arthrobacter_alpinus,lactobacillus_wasatchensis
arthrobacter_cupressi,thermobaculum_terrenum
arthrobacter_enclensis,deinococcus_geothermalis
arthrobacter_nitrophenolicus,corynebacterium_nuruki
arthrobacter_nitrophenolicus,knoellia_aerolata
arthrobacter_nitrophenolicus,thalassospira_profundimaris
asaia_astilbis,roseovarius_lutimaris
aster_yellows,enterobacter_cloacae
atopobium_deltae,thermoanaerobacterium_thermosaccharolyticum
auraticoccus_monumenti,aureimonas_ureilytica
auraticoccus_monumenti,chryseobacterium_haifense
auraticoccus_monumenti,streptomyces_puniciscabiei
aureimonas_frigidaquae,desulfobacter_postgatei
aureimonas_jatrophae,brevefilum_fermentans
aureimonas_phyllosphaerae,demequina_salsinemoris
aureimonas_phyllosphaerae,domibacillus_tundrae
azohydromonas_australica,thermovenabulum_gondwanense
azonexus_hydrophilus,gemmatimonas_aurantiaca
azorhizobium_caulinodans,planomicrobium_flavidum
azospirillum_humicireducens,filimonas_lacunae
azospirillum_lipoferum,syntrophobotulus_glycolicus
azospirillum_lipoferum,vibrio_genomosp
azospirillum_thiophilum,loktanella_koreensis
azotobacter_chroococcum,rhizobium_arenae
azotobacter_chroococcum,uncultured_human
azotobacter_vinelandii,intrasporangium_oryzae
bacillus_acidiproducens,bittarella_massiliensis
bacillus_acidiproducens,butyrivibrio_proteoclasticus
